ID,Label,Type
work_890,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Latin]","theology, law"
work_890,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Latin]","theology, law"
work_890,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Latin]","theology, law"
work_890,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Latin]","theology, law"
work_890,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Latin]","theology, law"
work_890,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Latin]","theology, law"
work_890,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Latin]","theology, law"
work_890,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Latin]","theology, law"
work_890,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Latin]","theology, law"
work_890,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Latin]","theology, law"
work_890,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Latin]","theology, law"
work_890,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Latin]","theology, law"
work_890,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Latin]","theology, law"
work_890,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Latin]","theology, law"
work_890,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Latin]","theology, law"
work_890,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Latin]","theology, law"
work_890,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Latin]","theology, law"
work_890,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Latin]","theology, law"
work_890,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Latin]","theology, law"
work_890,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Latin]","theology, law"
work_891,"Bartholomaeus de Sancta Sophia, fl. 1386–1450: Commentarium in nonum almansoris [Latin]",medicine
work_892,"Bartholomaeus de Sancta Sophia, fl. 1386–1450: Tractatus de febribus [Latin]",medicine
work_893,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Italian]","theology, law"
work_893,"Bartholomew, of San Concordio, 1262–1347: Summa de casibus conscientiae [Italian]","theology, law"
work_894,"Bartholomaeus, Varignana, –1318: Tractatus paruus dosium [Latin]",medicine
work_895,"Cipolla, Bartolomeo, -approximately 1477: Reportata [Latin]",law
work_896,"Facio, Bartolomeo, –1457: De humanae uitae felicitate dialogus [Latin]",literature
work_896,"Facio, Bartolomeo, –1457: De humanae uitae felicitate dialogus [Latin]",literature
work_896,"Facio, Bartolomeo, –1457: De humanae uitae felicitate dialogus [Latin]",literature
work_896,"Facio, Bartolomeo, –1457: De humanae uitae felicitate dialogus [Latin]",literature
work_897,"Bartholomew, of Exeter, 1110–1184: Dialogus contra iudaeos [Latin]",theology
work_898,"Bartholomew, of Exeter, 1110–1184: Poenitentiale [Latin]",theology
work_898,"Bartholomew, of Exeter, 1110–1184: Poenitentiale [Latin]",theology
work_898,"Bartholomew, of Exeter, 1110–1184: Poenitentiale [Latin]",theology
work_898,"Bartholomew, of Exeter, 1110–1184: Poenitentiale [Latin]",theology
work_898,"Bartholomew, of Exeter, 1110–1184: Poenitentiale [Latin]",theology
work_898,"Bartholomew, of Exeter, 1110–1184: Poenitentiale [Latin]",theology
work_899,"Bartholomeus, de Pisis, –1401: De conformitate uitae beati Francisci ad uitam domini Jesu [Italian]",hagiography
work_9,"Gregorius, Nazianzenus, 329–390: Adversus Iulianum secunda inuectiva (or. 5) [Greek]",theology
work_90,"Aristides, Aelius, 117–187: In Minervam, or. 37 k [Greek]",classical_literature
work_901,"Bartholomaeus, Salernitanus, 1100–1156: Practica medicinae [Latin]",medicine
work_901,"Bartholomaeus, Salernitanus, 1100–1156: Practica medicinae [Latin]",medicine
work_901,"Bartholomaeus, Salernitanus, 1100–1156: Practica medicinae [Latin]",medicine
work_902,"Carusi, Bartolomeo, –1350: Memoriale militie spiritualis [Latin]",christian_literature
work_902,"Carusi, Bartolomeo, –1350: Memoriale militie spiritualis [Latin]",christian_literature
work_903,"Bartolo, of Sassoferrato, 1313–1357: Tractatus de alimentis [Latin]",law
work_904,"Bartolo, of Sassoferrato, 1313–1357, & Ubaldi, Baldo degli, 1327?–1400: Tractatus de duobus fratribus [Latin]",law
work_904,"Bartolo, of Sassoferrato, 1313–1357, & Ubaldi, Baldo degli, 1327?–1400: Tractatus de duobus fratribus [Latin]",law
work_905,"Bartolo, of Sassoferrato, 1313–1357: Tractatus de insigniis et armis [Latin]",heraldry
work_905,"Bartolo, of Sassoferrato, 1313–1357: Tractatus de insigniis et armis [Latin]",heraldry
work_907,"Facio, Bartolomeo, –1457: Letter to bartolomeo strozi [Latin]",literature
