Source,Target,Type,Label
person_172419710,person_3014,Undirected,MS_Bodl_504
person_172419710,person_3013,Undirected,MS_Bodl_504
person_172419710,person_3012,Undirected,MS_Bodl_504
person_172419710,person_76469410,Undirected,MS_Bodl_284
person_172847083,person_69848690,Undirected,MS_Douce_131
person_172847083,person_4713,Undirected,MS_Douce_131
person_172847083,person_3959,Undirected,MS_Douce_131
person_172847083,person_3960,Undirected,MS_Douce_131
person_174,person_583,Undirected,MS_Lat_th_e_36
person_174,person_805,Undirected,MS_Lat_th_e_36
person_174,person_882,Undirected,MS_Lat_th_e_36
person_174,person_184,Undirected,MS_Lat_th_e_36
person_174,person_467,Undirected,MS_Lat_th_e_36
person_175,person_557,Undirected,MS_Lat_misc_e_87
person_175,person_61630238,Undirected,MS_Lat_misc_e_87
person_175,person_55959601,Undirected,MS_Lat_th_e_32
person_175,person_378,Undirected,MS_Lat_th_e_32
person_17522991,person_4039,Undirected,Merton_College_MS_123
person_17522991,person_4044,Undirected,Merton_College_MS_126
person_17522991,person_4043,Undirected,Merton_College_MS_126
person_17522991,person_4042,Undirected,Merton_College_MS_126
person_17522991,person_4041,Undirected,Merton_College_MS_126
person_178,person_311,Undirected,MS_Lat_th_c_20
person_18,person_1119,Undirected,MS_Don_b_6
person_18,person_89051780,Undirected,MS_Don_b_6
person_18015860,person_27215170,Undirected,MS_Ashmole_40
person_18015860,person_27215170,Undirected,MS_Ashmole_40
person_18312186,person_37261411,Undirected,Christ_Church_Allestree_Library_MS_L41
person_18312186,person_9878742,Undirected,Christ_Church_Allestree_Library_MS_L41
person_187082578,person_47563478,Undirected,MS_Rawl_G_36
person_196294866,person_546,Undirected,MS_Lat_th_f_18
person_19683296,person_69848690,Undirected,MS_Douce_176
person_19743305,person_73979081,Undirected,MS_Lat_class_d_26
person_19743305,person_28418540,Undirected,MS_Lat_class_d_26
person_19743305,person_27097808,Undirected,MS_Broxb_842
person_19743305,person_1018,Undirected,MS_Lat_class_d_26
person_197853031,person_59225563,Undirected,MS_Junius_83
person_198673897,person_2384880,Undirected,MS_Canon_Misc_172
person_198673897,person_446,Undirected,MS_Canon_Misc_172
person_203402485,person_5284082,Undirected,Merton_College_MS_241
person_203402485,person_96298161,Undirected,Merton_College_MS_241
person_203402485,person_203402485,Undirected,Merton_College_MS_241
person_204,person_5195545,Undirected,MS_Lat_th_e_26
person_204,person_755,Undirected,MS_Lat_th_e_26
person_20479002,person_54944694,Undirected,MS_Arch_Selden_A_1-part1
person_20479002,person_59122682,Undirected,MS_Arch_Selden_A_1-part1
person_20479002,person_22239295,Undirected,MS_Arch_Selden_A_1-part1
person_20479002,person_13131731,Undirected,MS_Arch_Selden_A_1-part1
person_205034998,person_49548280,Undirected,St_Johns_College_MS_69
person_205295992,person_4016,Undirected,Merton_College_MS_181
